source_row,category,service_name,price
3,Filler,1cc Filler Hàn,6000000
4,Filler,COMBO Môi 2cc Hàn,12500000
5,Filler,COMBO Cằm 2cc Hàn,12500000
6,Filler,COMBO Rãnh Cười 2cc Hàn,12500000
7,Filler,COMBO Tai Tài Lộc 3cc Hàn,20000000
8,Filler,COMBO Thái Dương 3cc Hàn,20000000
9,Filler,COMBO Đầy Trán 5cc Hàn,31000000
10,Filler,COMBO má cấp độ I (5cc) Hàn,31000000
11,Filler,COMBO má cấp độ II (7cc) Hàn,43000000
12,Filler,50cc Mông Hàn,25000000
13,Filler,200cc Mông Hàn,65000000
14,Filler,COMBo 3cc Hàn,15000000
15,Filler,Combo 5cc Hàn,22500000
16,Filler,1cc Filler Hàn Xuất,9000000
17,Filler,COMBO Môi 2cc Filler Hàn Xuất,20000000
18,Filler,COMBO Cằm 2cc Filler Hàn Xuất,20000000
19,Filler,COMBO Rãnh Cười 2cc Filler Hàn Xuất,20000000
20,Filler,COMBO Tai Tài Lộc 3cc Filler Hàn Xuất,31000000
21,Filler,COMBO Thái Dương 3cc Filler Hàn Xuất,31000000
22,Filler,COMBO má cấp độ I (3cc) Filler Hàn Xuất,31000000
23,Filler,COMBO Đầy Trán 5cc Filler Hàn Xuất,46000000
24,Filler,COMBO má cấp độ II (5cc) Filler Hàn Xuất,46000000
25,Filler,COMBO má cấp độ III (7cc) Filler Hàn Xuất,61000000
26,Filler,1cc Filler Juverderm,14000000
27,Nâng ngực,Nâng ngực Nano Ergonomix,200000000
28,Nâng ngực,Nâng ngực Nano Chip,190000000
29,Nâng ngực,Nâng ngực Nano không Chip,165000000
30,Nâng ngực,Nâng ngực Mentor Perfect,190000000
31,Nâng ngực,Treo Sa Trễ,125000000
32,Nâng ngực,Thu Nhỏ Quầng Ti,50000000
33,Tiêm thon gọn,Thon gọn hàm Botox Hàn 50 unit,4500000
34,Tiêm thon gọn,Thon gọn hàm Botox Hàn 100 unit,8000000
35,Tiêm thon gọn,Thon gọn hàm Botox Hàn trọn gói 2 năm,23000000
36,Tiêm thon gọn,Thon gọn hàm Botox Mỹ,14000000
37,Tiêm thon gọn,Thon gọn cầu vai,18000000
38,Vline perfect,Thon gọn hàm Vline Perfect 50 shot,9000000
39,Vline perfect,Thon gọn hàm Vline Perfect 100 shot,14000000
40,Vline perfect,Thon gọn hàm Vline Perfect 150 shot,16000000
41,Vline perfect,COMBO Vline Perfect 2 năm,31000000
42,Dịch vụ khác,Cắt 2 môi,15000000
43,Dịch vụ khác,Cắt 1 môi,10500000
44,Dịch vụ khác,Làm đầy hốc mắt (bảo hành dặm miễn phí 3 tháng),15000000
45,Dịch vụ khác,Xóa nếp nhăn trán Botox Hàn,10500000
46,Dịch vụ khác,Xóa nếp nhăn mắt Botox Hàn,5000000
47,Dịch vụ khác,Xóa nếp nhăn ấn đường Botox Hàn,10500000
48,Dịch vụ khác,Xóa nếp nhăn trán Botox Mỹ,13500000
49,Dịch vụ khác,Xóa nếp nhăn mắt Botox Mỹ,13500000
50,Dịch vụ khác,Xóa nếp nhăn ấn đường Botox Mỹ,13500000
51,Dịch vụ khác,Hút mở xoài vai,41000000
52,Dịch vụ khác,Hút mỡ họng cằm,41000000
53,Dịch vụ khác,Hút mỡ đùi,75000000
54,Dịch vụ khác,Hút mỡ Bụng+Eo,75000000
55,Dịch vụ khác,Hút mỡ bắp tay,41000000
56,Dịch vụ khác,Hút mỡ bắp chân,41000000
57,Dịch vụ khác,Thu nhỏ đầu ti,16500000
58,Dịch vụ khác,Thu ngắn đầu ti,16500000
59,Dịch vụ khác,Thu nhỏ quầng vú,25000000
60,Dịch vụ khác,Trị hôi nách bằng Botox Hàn,15000000
61,Dịch vụ khác,Trị hôi nách bằng Botox Mỹ,25000000
62,Dịch vụ khác,Hút tuyến mồ hôi trị hôi nách,37000000
63,Dịch vụ khác,Độn cằm sụn Mỹ,41000000
64,Dịch vụ khác,Độn cằm sụn Hàn,62000000
65,Dịch vụ khác,Độn cằm sụn Sugiform,81000000
67,Dịch vụ khác,Thuốc Sẹo,625000
68,Dịch vụ khác,Dao NNC,2500000
69,Dịch vụ khác,Tinh Chất( TC),1250000
